title,SSO详情,SSO详情,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
systemName,系统名称,系统名称,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
systemCode,系统编码,系统编码,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
URL,URL,URL,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
orderNo,排序,排序,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
requestMethod,请求方式,请求方式,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
enable,是否生效,是否生效,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
add line,增加行,增加行,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
params name,参数名称,参数名称,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
value,值,值,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
tab,标签,标签,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
Button,操作,操作,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
required,必填,必填,D:\代码库\saafweb\src\page\base\baseSSO\baseSSOEdit.vue
query,query,查询,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
list,SSO system management,SSO系统管理,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
systemName,system name,系统名称,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
requestUrl,URL,URL,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
system code,system code,系统编码,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
orderNo,orderNo,排序,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
required,required,必填,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
edit,SSO details,SSO详情,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
deleteSuccess,Delete successful!,删除成功！,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
deleteFailed,Delete failed!,删除失败！,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
saveSuccess,Save successful!,保存成功！,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
saveFailed,Save failed!,保存失败！,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
Fail,Fail!,失败!,D:\代码库\saafweb\src\page\base\baseSSO\baseSSO.vue
list,List,列表,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
topicId,topicId,主键,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
title,title,主题,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
content,content,内容,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
commentCount,commentCount,回复次数,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
niceCount,niceCount,点赞次数,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
viewCount,viewCount,浏览次数,D:\代码库\saafweb\src\page\base\bbs\BbsTopic.vue
