新增,ADD,新增,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
国家,Country,国家,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
促销申请人,Applicant,促销申请人,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
国家代码,Country Code,国家代码,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
中文名称,Country Name,中文名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
英文名称,Country Name,英文名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
用户姓名,User,用户姓名,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
员工姓名,Name,员工姓名,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
员工工号,User ID.,员工工号,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalAdd.vue
subCustomerAbbreviation,Sub Customer ABBR.,子客户简称,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
subCustomerCode,Sub Customer Code,子客户编码,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
promotionType,Promotion,促销类型,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
promotionActivityCode,Promotion No.,促销活动编码,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
promotionAbbreviation,Promotion ABBR.,促销简称,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
explanation,Description,促销活动类型解释,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
productSKU,SKU No.,产品SKU,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
productName,Product Name,产品名称,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
list,List,list,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
country,Country,国家,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
startTimeFrom,Start Time,开始时间从,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
to,To,到,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
conflictSequence,Conflict No.,冲突序列,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
onlinePriceExposure,Online Price Display,线上价格露出,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
productSeriesModel,Factory Model.,产品系列型号,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
SAPID,SAP ID,SAP ID,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
productStatus,Product Status,产品状态,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
startTime,Start Time,开始时间,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
endTime,End Time,结束时间,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
currency,Currency,币别,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
MSRP,MSRP,MSRP,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
promotionPrice,Promotion Price,促销价格,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
discount,Discount,折扣,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
grossProfit1,Gross Profit 1,毛利1,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
netProfit1,Net Profit 1,净利1,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
salesVolumeForecast,Sales Volume Forecast,预测销量,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
salesAmountForecast,Sales Amount Forecast,预测销额,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
SICurrency,SI Currency,SI币别,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
